id,latitude,longitude,period,persist,radius,drogue,t,u,v
37655.0,32.592,-55.69200000000001,17.26509222401569,110.5,40824.16650883973,1.0,12028.75,-0.1427787305787495,-0.09582651472476252
37655.0,32.571,-55.73000000000002,17.26509222401569,110.5,41778.72964081536,1.0,12029.0,-0.13637584655674695,-0.11121618646976272
37655.0,32.552,-55.75999999999999,20.10685807526334,110.5,52044.86705267512,1.0,12029.25,-0.13964233978578955,-0.12622337560987915
37655.0,32.525,-55.78800000000001,22.036551241514868,110.5,61481.54165977282,1.0,12029.5,-0.14960136840482005,-0.13705850867925637
37655.0,32.494,-55.827,22.036551241514868,110.5,64418.26605051206,1.0,12029.75,-0.15808726169279483,-0.14212872115563657
37655.0,32.468,-55.865999999999985,22.036551241514868,110.5,63336.14947491594,1.0,12030.0,-0.14939329743254745,-0.1461788258410938
37655.0,32.441,-55.89699999999999,22.036551241514868,110.5,60358.217512262825,1.0,12030.25,-0.1276327050137927,-0.15292145803206997
37655.0,32.41,-55.93000000000001,21.261164205534232,110.5,55022.25719349492,1.0,12030.5,-0.09639510156164578,-0.16163810379417837
37655.0,32.377,-55.93900000000002,19.45024385630729,110.5,48685.36478099874,1.0,12030.75,-0.06799845536418625,-0.16885082814928873
37655.0,32.345,-55.954999999999984,18.10906586108251,110.5,43640.50027737523,1.0,12031.0,-0.05167541552626842,-0.16745884417317694
37655.0,32.307,-55.964,16.95976738514283,110.5,39795.170177584376,1.0,12031.25,-0.037431996707262764,-0.16648209048283458
37655.0,32.282,-55.97500000000002,16.316711244455878,110.5,37866.22705035707,1.0,12031.5,-0.02669141272107113,-0.16664215171331234
37655.0,32.243,-55.97399999999999,16.128168777800493,110.5,37404.30861784038,1.0,12031.75,-0.01675106484563159,-0.1678224249376729
37655.0,32.214,-55.980999999999995,15.833004750629293,110.5,36076.85630590167,1.0,12032.0,-0.0021543863377053198,-0.1656894137069705
37655.0,32.176,-55.97800000000001,13.76614750546022,110.5,31642.768937228066,1.0,12032.25,0.020044102616394673,-0.1659522891223238
37655.0,32.157,-55.97800000000001,11.051799238616763,110.5,25412.308153191017,1.0,12032.5,0.046231411190410354,-0.16069776838903815
37655.0,32.111,-55.94900000000001,8.662823660751144,110.5,18452.663220309463,1.0,12032.75,0.07064948517020246,-0.1378558640211943
37655.0,32.092,-55.947,6.558948326489762,110.5,12118.208951404058,1.0,12033.0,0.09528265209050227,-0.09473043634656708
37655.0,32.081,-55.91300000000001,6.513700862199746,110.5,10898.130103124524,1.0,12033.25,0.11067987320636895,-0.05053729203010926
37655.0,32.078,-55.891999999999996,6.513700862199746,110.5,10297.553188335878,1.0,12033.5,0.11487279396534018,-0.004647711356299881
37655.0,32.072,-55.85899999999998,6.513700862199746,110.5,10567.420735179954,1.0,12033.75,0.11129067647152174,0.03916116308682269
37655.0,32.091,-55.846000000000004,6.513700862199746,110.5,11215.688426985633,1.0,12034.0,0.10664803975175166,0.06561678013027473
37655.0,32.108,-55.809000000000026,8.078732377539676,110.5,13732.260359536805,1.0,12034.25,0.09750549128257179,0.07597965710104966
37655.0,32.126,-55.79899999999998,8.77116124865161,110.5,14136.124323031578,1.0,12034.5,0.08750266211616908,0.07797351463979828
37655.0,32.136,-55.774,9.775498264240193,110.5,15901.284812640739,1.0,12034.75,0.07859478747662453,0.08840881506792962
37655.0,32.155,-55.75999999999999,14.364922356517546,110.5,27448.08002418685,1.0,12035.0,0.06917238663027182,0.12051443677157424
